height,height_source,floors,lon,lat
5.4,estimated,1.7,12.488835061430207,41.89046357575254
5.0,estimated,1.3,12.487035973201511,41.88928111988125
10.2,estimated,1.2,12.484816186027583,41.894195665078264
9.0,estimated,1.2,12.484268213137645,41.89296241277633
8.8,estimated,1.2,12.484279318012431,41.8929752968735
14.3,estimated,1.7,12.48491350000116,41.89551227145734
6.6,estimated,1.9,12.473779263033823,41.88537968175973
6.0,estimated,1.0,12.463147672707084,41.883875821593314
16.5,estimated,1.5,12.482998080374937,41.905135613307124
7.9,estimated,1.1,12.485938504375374,41.8914953741103
10.9,estimated,1.4,12.484493334503407,41.89198883716178
12.1,estimated,1.5,12.486755877602487,41.89420538066545
4.2,estimated,1.0,12.487605723979211,41.88353383889311
5.9,estimated,1.2,12.484955972674598,41.890831736724756
11.5,estimated,1.5,12.486433893375924,41.89257929077616
10.3,estimated,1.4,12.484816369048746,41.89174089133464
5.4,estimated,1.1,12.508525351106426,41.908945578695416
5.1,estimated,1.1,12.48553645000015,41.89138114403808
7.3,estimated,1.3,12.483795248662648,41.89272659008104
7.5,estimated,1.2,12.484333728354603,41.89210628510048
5.2,estimated,1.2,12.484323490023296,41.89212197747759
5.3,estimated,1.7,12.48673087778065,41.88787821415206
4.1,estimated,1.0,12.485274661302368,41.88923867689248
9.7,estimated,1.4,12.484974928859204,41.89174880399473
7.8,estimated,1.2,12.486912391582242,41.8912081255282
6.9,estimated,1.4,12.484322256446452,41.89291169464413
6.8,estimated,1.4,12.484423331646337,41.89297190111579
6.7,estimated,1.6,12.484376198318202,41.89291069896251
5.1,estimated,1.2,12.451492350942548,41.903894837857386
5.9,estimated,1.1,12.461479500810048,41.910152392410595
6.2,estimated,1.3,12.4877354152534,41.88802852369858
7.7,estimated,1.2,12.485774156358277,41.891476283383966
7.1,estimated,1.1,12.486009540790574,41.89438315852612
4.9,estimated,1.1,12.486770800002603,41.887974594037026
5.0,estimated,1.1,12.48674384377804,41.88799425417933
4.9,estimated,1.1,12.507498820999741,41.89767534565184
6.2,estimated,1.1,12.486160083175552,41.89224404537149
12.4,estimated,1.5,12.486796294590826,41.892805444936144
5.9,estimated,1.2,12.49325285970609,41.91419506477919
4.0,estimated,1.1,12.502918208997725,41.90262793311222
4.9,estimated,1.0,12.48553124999952,41.88749054403622
4.7,estimated,1.0,12.499226109587138,41.90768200280208
5.5,estimated,1.1,12.481815605218546,41.89507275513258
14.6,estimated,1.6,12.485209275067493,41.89490194269018
9.3,estimated,1.5,12.487706286262176,41.887154562129936
16.7,estimated,4.3,12.481511343470169,41.90343083333907
10.4,estimated,1.4,12.485038400531211,41.89196976969065
11.0,estimated,1.4,12.485270469144787,41.89182799133524
13.6,estimated,1.5,12.484503100001193,41.895647171457384
7.9,estimated,3.0,12.493923803973475,41.89258807339046
7.1,estimated,1.8,12.508227657629025,41.8978055127106
5.1,estimated,1.1,12.485749113882502,41.88817450560015
5.2,estimated,1.0,12.486342139666673,41.889201543579134
17.5,osm,1.9,12.477201016307994,41.89501064360287
6.8,estimated,2.3,12.477251185133184,41.89507284824837
11.4,estimated,1.6,12.48408526073809,41.89311248909273
5.4,estimated,1.1,12.486270481359426,41.88883612467234
5.3,estimated,1.0,12.485378699999014,41.88756234403626
13.6,estimated,1.5,12.484646822617377,41.89574189403895
5.4,estimated,1.1,12.489155632149226,41.89024554813299
5.1,estimated,1.1,12.485511201865663,41.89183736145248
5.7,estimated,1.1,12.486926343644635,41.88781569644202
11.2,estimated,1.4,12.485240337250968,41.89177788866298
6.3,estimated,1.3,12.485808466412136,41.8953046436031
6.3,estimated,1.3,12.485698599999743,41.8953994440398
5.6,estimated,1.2,12.48510931440828,41.890786014858925
12.4,estimated,1.5,12.48614678049794,41.892524394347305
7.8,estimated,1.1,12.485016463152379,41.89405953836152
5.4,estimated,1.1,12.484349249227986,41.892163617994505
11.1,estimated,1.4,12.490020252570355,41.89039763074451
4.9,estimated,1.2,12.455871251421325,41.90615526496535
36.0,osm,2.1,12.497546606452707,41.89489443959155
4.3,estimated,1.0,12.465422176729485,41.9140840130753
5.9,estimated,1.1,12.485801393752494,41.89245212632537
7.4,estimated,1.3,12.485532202225551,41.889088326967304
10.0,estimated,1.3,12.484328868944646,41.89222819132728
7.4,estimated,1.3,12.487478731490286,41.893263838898896
10.5,estimated,1.3,12.484688372013222,41.89192012437521
5.8,estimated,1.1,12.489372827121159,41.89020369232447
5.7,estimated,1.5,12.48536673966294,41.88957755015587
13.7,estimated,1.5,12.48445479999881,41.89561711662176
17.3,estimated,1.9,12.476770142535484,41.8953311399594
5.9,estimated,1.1,12.48562910624744,41.89247806175166
5.0,estimated,1.2,12.484147588803348,41.8922607691256
5.8,estimated,1.1,12.485997699999938,41.89236279403848
12.2,osm,1.6,12.47865599112276,41.90068742006211
5.5,estimated,1.1,12.487523221265588,41.88881293790546
6.2,estimated,1.2,12.49089564373529,41.89002914949818
6.7,estimated,1.1,12.486410839933846,41.891379266129015
5.6,estimated,1.1,12.487832541803046,41.889784823233434
15.1,estimated,1.5,12.489621407883092,41.89134484004451
8.1,estimated,1.7,12.487963272854863,41.88777889192196
9.0,estimated,1.3,12.487068531763658,41.91218178460863
4.9,estimated,1.1,12.486084802096448,41.89197680642297
7.4,estimated,1.2,12.484193908374852,41.89286169891149
6.4,estimated,1.2,12.48488751742061,41.8939470483532
5.9,estimated,1.0,12.485416000000217,41.8874844440361
9.4,estimated,1.5,12.487544423696223,41.88707942883994
